309	13666
301	13676
295	13686
291	13696
287	13706
286	13716
285	13726
285	13736
286	13747
287	13757
289	13767
292	13777
295	13788
299	13798
304	13808
310	13818
315	13828
321	13838
325	13848
327	13858
327	13869
325	13879
320	13889
313	13899
306	13910
300	13920
294	13930
290	13940
286	13950
285	13960
283	13970
282	13980
282	13990
282	14001
283	14011
283	14021
283	14031
284	14042
285	14052
285	14062
286	14072
287	14082
287	14092
288	14102
289	14112
290	14123
292	14133
294	14143
295	14153
298	14163
300	14174
301	14184
302	14194
302	14204
301	14214
299	14224
298	14234
297	14244
296	14255
295	14265
293	14275
299	14285
329	14296
367	14306
377	14316
369	14326
354	14336
338	14346
323	14356
312	14366
302	14376
295	14387
289	14397
286	14407
284	14417
283	14428
283	14438
283	14448
285	14458
286	14468
289	14478
293	14488
297	14498
302	14509
308	14519
314	14529
320	14539
324	14550
326	14560
326	14570
323	14580
318	14590
313	14600
306	14610
299	14620
293	14630
289	14641
286	14651
284	14661
283	14671
282	14682
282	14692
282	14702
282	14712
282	14722
283	14732
283	14742
284	14752
285	14763
286	14773
286	14783
287	14793
288	14803
289	14814
291	14824
293	14834
295	14844
297	14854
299	14864
301	14874
302	14884
302	14895
301	14905
300	14915
298	14925
297	14936
296	14946
296	14956
294	14966
295	14976
315	14986
355	14996
379	15006
376	15016
361	15027
344	15037
329	15047
316	15057
305	15068
297	15078
291	15088
287	15098
284	15108
283	15118
282	15128
282	15138
283	15149
285	15159
287	15169
291	15179
295	15190
300	15200
306	15210
312	15220
317	15230
322	15240
325	15250
326	15260
325	15270
320	15281
314	15291
307	15301
301	15311
295	15322
290	15332
287	15342
285	15352
283	15362
282	15372
282	15382
282	15392
282	15403
283	15413
283	15423
284	15433
284	15443
285	15454
286	15464
286	15474
287	15484
288	15494
289	15504
290	15514
292	15524
294	15535
296	15545
298	15555
300	15565
302	15576
303	15586
302	15596
302	15606
300	15616
299	15626
298	15636
297	15646
296	15656
294	15667
296	15677
318	15687
358	15697
380	15708
376	15718
361	15728
344	15738
330	15748
317	15758
306	15768
298	15778
292	15789
287	15799
284	15809
283	15819
282	15830
282	15840
283	15850
285	15860
288	15870
291	15880
295	15890
300	15900
306	15910
312	15921
317	15931
322	15941
325	15951
326	15962
324	15972
320	15982
314	15992
308	16002
301	16012
295	16022
291	16032
287	16043
285	16053
284	16063
283	16073
282	16083
283	16094
283	16104
283	16114
284	16124
284	16134
285	16144
286	16154
286	16164
287	16175
288	16185
289	16195
290	16205
290	16216
291	16226
293	16236
295	16246
297	16256
299	16266
301	16276
303	16286
304	16296
304	16307
303	16317
302	16327
300	16337
299	16348
298	16358
297	16368
296	16378
296	16388
314	16398
353	16408
380	16418
378	16429
365	16439
347	16449
332	16459
318	16470
307	16480
299	16490
292	16500
288	16510
285	16520
283	16530
283	16540
283	16550
284	16561
286	16571
288	16581
291	16591
295	16602
300	16612
306	16622
312	16632
317	16642
321	16652
325	16662
326	16672
325	16683
321	16693
316	16703
309	16713
302	16723
297	16734
292	16744
289	16754
286	16764
285	16774
284	16784
284	16794
284	16804
284	16815
284	16825
284	16835
285	16845
285	16856
286	16866
287	16876
287	16886
288	16896
288	16906
289	16916
290	16926
291	16936
292	16947
294	16957
296	16967
298	16977
300	16988
302	16998
304	17008
304	17018
303	17028
302	17038
301	17048
299	17058
298	17069
297	17079
297	17089
294	17099
302	17110
335	17120
371	17130
379	17140
370	17150
354	17160
337	17170
323	17180
311	17190
302	17201
295	17211
289	17221
286	17231
283	17242
282	17252
282	17262
282	17272
284	17282
285	17292
288	17302
292	17312
296	17323
302	17333
308	17343
313	17353
319	17363
322	17374
325	17384
325	17394
322	17404
317	17414
311	17424
304	17434
298	17444
293	17455
288	17465
285	17475
283	17485
282	17496
281	17506
281	17516
281	17526
282	17536
282	17546
283	17556
283	17566
284	17576
284	17587
285	17597
285	17607
286	17617
287	17628
288	17638
289	17648
290	17658
292	17668
294	17678
296	17688
299	17698
301	17709
302	17719
302	17729
301	17739
300	17750
298	17760
297	17770
296	17780
296	17790
294	17800
294	17810
312	17820
350	17830
371	17841
364	17851
348	17861
333	17871
320	17882
310	17892
302	17902
296	17912
292	17922
289	17932
287	17942
286	17952
286	17963
287	17973
288	17983
289	17993
